"","well_name","a_mean","a_sd","acer_mean","acer_sd","aacer_ratio","sd_warning","ct_warning","rep"
"1","1-JD",25.385,0.0353553390593279,25.95,0.00707106781186407,0.164376389916538,NA,NA,NA
"2","10",34.41,0.0848528137423839,24.335,0.15556349186104,0.000103010212776749,NA,NA,NA
"3","100",33.81,0.339411254969541,24.11,0.00707106781186407,0.000133587718461905,NA,NA,NA
"4","101",41,0,23.76,0.289913780286485,0.000000717794895055581,NA,"a*",NA
"5","102-JD",31.405,0.346482322781407,25.25,0.00707106781186407,0.00155925759181238,NA,NA,NA
"6","11",31.4,0.0424264068711919,25.495,0.0141421356237306,0.0018542802223053,NA,NA,NA
"7","111",29.13,0.212132034355965,24.55,0.318198051533946,0.00464558178745176,NA,NA,NA
"8","112",28.285,0.247487373415293,24.41,0.0212132034355972,0.00757297036573096,NA,NA,NA
"9","113",41,0,24.56,0.00707106781186658,0.00000124975350044344,NA,"a*",NA
"10","114",32.51,0.890954544295051,24.46,0.00707106781186658,0.000419243198318076,NA,NA,NA
"11","116",31.395,0.558614357137372,24.785,0.141421356237309,0.0011374942741826,NA,NA,NA
"12","117",28.975,0.0636396103067892,25.12,0.00707106781186658,0.00767868509250185,NA,NA,NA
"13","118",32.665,1.13844191771034,24.44,0.0353553390593279,0.00037135200767474,"a*",NA,NA
"14","12",24.92,0.424264068711927,25.34,0.0212132034355972,0.148658617198457,NA,NA,NA
"15","121-JD",37.55,0.15556349186104,24.805,0.0424264068711945,0.0000161856518965891,NA,NA,NA
"16","125-JD",30.745,0.558614357137372,25.165,0.0424264068711945,0.00232279089372589,NA,NA,NA
"17","128",34.77,0.565685424949241,25.42,0.685893577750953,0.000170265646244955,NA,NA,NA
"18","129",30.83,0.113137084989848,24.38,0.0212132034355972,0.00127090772217502,NA,NA,NA
"19","13",23.6,0.16970562748477,24.26,0.0777817459305223,0.175564735969639,NA,NA,NA
"20","130",41,0,24.59,0.091923881554253,0.00000127601347809776,NA,"a*",NA
"21","131",29.265,0.205060966544098,24.4,0.0494974746830585,0.00381282227009392,NA,NA,NA
"22","133",28.875,0.0494974746830585,25.045,0.0848528137423864,0.0078129061436723,NA,NA,NA
"23","134",30.675,0.0494974746830585,24.905,0.0282842712474638,0.0020361717868609,NA,NA,NA
"24","137",29.235,0.304055915910215,24.155,0.0424264068711919,0.00328492238446388,NA,NA,NA
"25","14",33.79,0.183847763108506,23.94,0.0212132034355947,0.000120395993062917,NA,NA,NA
"26","14-JD",23.37,0.0565685424949251,25.21,0.0212132034355972,0.397788920412433,NA,NA,NA
"27","140",31.06,0.141421356237309,24.58,0.445477272147524,0.00124475281945818,NA,NA,NA
"28","141",28.545,0.00707106781186658,24.51,0.00707106781186658,0.00677799833872376,NA,NA,NA
"29","143",30.395,0.275771644662754,24.03,0.0212132034355947,0.00134803624132125,NA,NA,NA
"30","144",29.16,0.240416305603426,25.12,0.0494974746830585,0.00675454824591867,NA,NA,NA
"31","145",28.54,0.452548339959391,24.2,0.0494974746830585,0.00548639799905123,NA,NA,NA
"32","146",33.93,0.452548339959391,24.435,0.0282842712474613,0.000153984739171048,NA,NA,NA
"33","149-JD",26.15,0.339411254969543,25.455,0.155563491861042,0.0686343687292738,NA,NA,NA
"34","15",34.52,0.141421356237306,24.08,0.0353553390593279,0.0000799842240283802,NA,NA,NA
"35","15-JD",25.37,0.0282842712474613,26.045,0.0707106781186532,0.177399641412589,NA,NA,NA
"36","151",31.855,0.247487373415293,24.8,0.0494974746830585,0.000835585454081382,NA,NA,NA
"37","153",31.875,0.799030662740798,24.48,0.0212132034355972,0.00066014702831641,NA,NA,NA
"38","154",27.66,0.0282842712474613,24.39,0.148492424049176,0.0115183270252006,NA,NA,NA
"39","156",34.325,0.657609306503489,24.09,0.162634559672904,0.0000921967229968152,NA,NA,NA
"40","157-JD",34.605,0.912167747730646,25.23,0.0777817459305198,0.00016734058435416,NA,NA,NA
"41","158",31.915,0.403050865276335,25.175,0.0848528137423864,0.00103947804220393,NA,NA,NA
"42","159",36.255,0.148492424049176,24.48,0.00707106781186407,0.0000317051119943915,NA,NA,NA
"43","16",32.79,0.0141421356237281,24.68,0.00707106781186407,0.000402164957417696,NA,NA,NA
"44","167",32.24,0.735391052434009,24.41,0.0353553390593279,0.000488306633979519,NA,NA,NA
"45","169",22.59,0.0141421356237332,20.46,1.67584307141212,0.0253842069508167,"host*",NA,NA
"46","17",23.855,0.0353553390593279,24.87,0.0919238815542505,0.224544765885948,NA,NA,NA
"47","170",31.505,0.0636396103067892,24.28,0.0353553390593279,0.00074270401534948,NA,NA,NA
"48","171",30.33,0.155563491861042,25.2,0.00707106781186407,0.00317302586885209,NA,NA,NA
