"","site","genotype","bsi","mean_tle_slope","mean_sa_slope","mean_vol_slope","mean_sav_slope","mean_branch_slope","mean_growth_slope"
"1","Looe","36",0.444444444444444,2.10402716666667,2.99091183333334,1.46868454166667,0.150627125046019,1.04166666666667,1.677432375
"2","Looe","41",0.604166666666667,2.20895360714286,4.66580485714286,0.959708017857147,0.353595904457395,0.446428571428571,0.0273517083333324
"3","Looe","3",0.708333333333333,3.14694732142857,13.7636157857143,5.16828794642857,0.567667836487168,4.07142857142857,2.92103014285714
"4","Looe","50",0.604166666666667,9.44067955357143,29.1747445357143,14.5830738392857,0.490932921450047,1.17857142857143,4.5835195
"5","Looe","13",0.361111111111111,15.149583625,44.611111625,11.661911825,0.176730503064971,6.025,10.3054468571429
"6","Looe","44",0.666666666666667,8.80298464285714,28.7839430238095,7.65102402380953,0.235566777646479,1.54761904761905,2.86395158571429
"7","Looe","1",0.604166666666667,1.139994,12.1624638333333,3.24517766666666,0.00620356198952727,2.33333333333333,1.0540898
"8","Looe","31",0.472222222222222,18.6330097714286,48.6305328,8.74612197142857,0.954506170601439,3.74285714285714,8.44486307142857
"9","Looe","7",0.75,2.25730266666666,6.29129166666665,0.124997666666667,0.400299368654532,1.16666666666667,2.0805755
"10","Looe","62",0.125,20.8279126,70.2545707,37.93596425,0.337746354317291,2.15,13.8001656666667
"11","Daves","36",0.283333333333333,2.10402716666667,2.99091183333334,1.46868454166667,0.150627125046019,1.04166666666667,1.677432375
"12","Daves","41",0.25,2.20895360714286,4.66580485714286,0.959708017857147,0.353595904457395,0.446428571428571,0.0273517083333324
"13","Daves","3",0.166666666666667,3.14694732142857,13.7636157857143,5.16828794642857,0.567667836487168,4.07142857142857,2.92103014285714
"14","Daves","50",0.37037037037037,9.44067955357143,29.1747445357143,14.5830738392857,0.490932921450047,1.17857142857143,4.5835195
"15","Daves","13",0.351851851851852,15.149583625,44.611111625,11.661911825,0.176730503064971,6.025,10.3054468571429
"16","Daves","44",0.395833333333333,8.80298464285714,28.7839430238095,7.65102402380953,0.235566777646479,1.54761904761905,2.86395158571429
"17","Daves","1",0.166666666666667,1.139994,12.1624638333333,3.24517766666666,0.00620356198952727,2.33333333333333,1.0540898
"18","Daves","31",0.270833333333333,18.6330097714286,48.6305328,8.74612197142857,0.954506170601439,3.74285714285714,8.44486307142857
"19","Daves","7",0.520833333333333,2.25730266666666,6.29129166666665,0.124997666666667,0.400299368654532,1.16666666666667,2.0805755
"20","Daves","62",0.0666666666666665,20.8279126,70.2545707,37.93596425,0.337746354317291,2.15,13.8001656666667
