"","site","timepoint","genotype","array","tag_number","number_branches","sa","volume","tle","sav","breakage","growth","initial_tle","initial_sa","initial_vol","initial_sav"
"25","Daves","3","13","14","134",5,29.676924,7.661122,12.298058,3.8737046610144,0,3.811799,7.383592,23.8695935623624,5.59941405640383,4.26287345817259
"26","Daves","3","41","14","135",2,15.307115,4.862504,6.746069,3.14799021245021,0,2.199343,6.942979,18.4478473091233,3.40072155783912,5.4246862012559
"27","Daves","3","3","14","137",8,38.249996,12.403522,11.884204,3.08380119775657,1,4.311837,8.584842,25.6897789503459,5.80487139696265,4.42555522656158
"28","Daves","3","36","14","138",0,24.883369,9.280093,3.394119,2.68137065005706,0,1.171523,7.994432,28.9114190143943,6.76355873127702,4.27458682079568
"29","Daves","3","31","14","139",18,151.139267,25.724726,68.395881,5.87525274321678,0,33.120562,10.415485,34.2416814897365,8.18917876667028,4.18133276429368
"30","Daves","3","50","14","140",4,35.800835,12.700113,11.286854,2.81893830393478,0,5.757459,8.126271,22.0407306389705,4.17314577013915,5.28156260360766
"31","Daves","3","7","15","141",4,74.207939,25.237558,18.771235,2.94037715534918,0,7.828029,8.732853,33.9983081005932,9.97207316385474,3.40935205167017
"32","Daves","3","44","15","142",2,27.285042,8.708874,6.772503,3.13301604776921,0,2.652999,7.057614,23.2313508904795,5.45903975390716,4.25557459512037
"33","Daves","3","62","15","144",13,83.306831,20.50087,30.160968,4.06357539948305,0,9.34979199999999,9.593583,31.8474125062054,28.1708046864491,1.13051128147308
"34","Daves","3","50","15","145",12,98.028053,23.046383,34.078078,4.25351140784218,0,10.231923,7.516004,23.8861836264173,4.20394166209065,5.68185420882803
"35","Daves","3","1","15","146",9,85.615952,24.940945,25.338557,3.43274691476205,0,17.442261,7.809601,20.4771100944572,3.95038997452432,5.18356674316006
"36","Daves","3","41","15","148",2,11.993173,2.539715,5.238706,4.72225151247286,0,0.582026000000001,8.417048,21.6780972972862,3.78611635611142,5.72568174305952
"37","Daves","3","3","15","149",5,37.755417,12.878551,7.02865,2.93165100639039,0,2.444571,7.706176,23.9692149243237,5.29347834748937,4.5280651682824
"38","Daves","3","36","15","150",1,30.922009,9.949792,6.265808,3.10780456516076,5,1.432992,7.11911,21.3513184518196,4.84434929323878,4.40746881766339
"39","Daves","3","13","16","151",7,55.445755,9.916754,25.10886,5.59111933199109,0,8.155195,7.271248,20.0336145147729,3.68606727532241,5.43495628766585
"40","Daves","3","1","16","152",8,81.475624,21.077852,25.647043,3.86546143316691,0,10.170005,7.226232,18.2262485448389,3.46126175171988,5.26578162884746
"41","Daves","3","3","16","153",18,143.387268,35.066368,47.743423,4.08902535899926,1,9.99481699999999,10.190786,37.5825130982806,9.77513165820056,3.84470658937385
"42","Daves","3","44","16","156",13,166.524872,47.621148,48.866614,3.49686807214307,1,15.176165,10.789007,43.8089842751163,11.4986498227557,3.80992420418082
"43","Daves","3","31","16","157",1,16.856556,6.093138,5.085269,2.76648190144389,5,-24.213427,8.172715,26.0785152143275,5.36824648191581,4.85792060818725
"44","Daves","3","36","16","158",11,97.485023,26.676702,31.354422,3.65431315310266,1,13.666104,8.523751,33.98749352478,8.49412230277186,4.00129552098502
"45","Daves","3","62","16","159",6,86.266457,25.214926,21.242637,3.42124569391955,0,5.861679,8.553196,28.2848362501099,6.63774255767722,4.2612132067996
"46","Daves","3","13","17","163",6,26.872332,7.315575,10.992006,3.67330414902451,0,2.746816,8.219562,23.5962309895843,4.65499617552356,5.06901189600448
"47","Daves","3","41","17","164",2,18.625248,7.420498,6.075497,2.50997278080258,0,0.413829000000001,8.328667,25.2655222519387,5.38210737413127,4.6943549237564
"48","Daves","3","7","17","165",4,61.166191,15.439491,17.638507,3.96167146960998,0,4.027476,8.608008,31.2131074590415,8.18283684670314,3.814460442483
