group,ID,sgs,scs,int,slope,r2
Daves189,189,77.302,6.454647248,244.0142889,-25.82825714,0.922690629
Daves190,190,72.713,6.203997061,239.8661111,-26.94280952,0.969318798
Daves191,191,111.0853333,5.307276003,270.5494667,-30.04632381,0.984984501
Daves195,195,104.3823333,5.380128049,251.5057778,-27.34571429,0.964829652
Daves196,196,82.38066667,6.815589025,267.3614,-27.14082857,0.983221955
Daves197,197,96.661,6.597751903,271.0841333,-26.43675238,0.983531684
Daves198,198,79.78466667,5.432036771,225.4087778,-26.80838095,0.957369922
Daves199,199,95.121,6.557942225,271.6595556,-26.91980952,0.97973399
Daves200,200,61.88933333,7.087410781,257.7718,-27.63808571,0.981518967
Looe100,100,80.44233333,5.415248785,252.3148,-31.73860952,0.993366192
Looe10,10,109.073,5.113913862,261.8590667,-29.87654286,0.989266439
Looe11,11,106.2016667,6.228343979,283.8793556,-28.52727619,0.995174847
Looe12,12,130.6133333,4.963056301,286.9249333,-31.49502857,0.990219424
Looe13,13,96.18333333,5.747838385,261.4178667,-28.74724762,0.960009516
Looe14,14,96.41866667,5.71551723,268.5097333,-30.10944762,0.99526783
Looe15,15,117.4336667,4.997786868,291.4186222,-34.8124,0.944871301
Looe16,16,131.4903333,5.397496196,288.0242,-29.0012,0.969808508
Looe17,17,98.343,7.149823683,276.2268,-24.87946667,0.992789226
Looe18,18,102.424,6.169376186,268.7335778,-26.95727619,0.977782606
Looe19,19,146.5186667,4.513405857,270.6541778,-27.50373333,0.984079813
Looe1,1,131.9446667,5.039234497,265.5688,-26.51675238,0.977432578
Looe20,20,65.945,7.204195123,262.9239556,-27.34225714,0.982880891
Looe21,21,102.5916667,6.946715891,260.9376889,-22.79437143,0.984690017
Looe23,23,156.458,5.5795225,276.5740667,-21.52801905,0.984025281
Looe24,24,155.1353333,5.54410273,275.7930667,-21.76325714,0.97402137
Looe25,25,139.981,5.079176965,267.1790222,-25.0430381,0.977003106
Looe26,26,114.5663333,6.107533787,258.1233333,-23.50490476,0.976031904
Looe27,27,148.9693333,5.717601468,280.6482,-23.0304381,0.977804607
Looe28,28,113.1373333,7.691805044,272.1344889,-20.67098095,0.979458348
Looe30,30,146.2026667,5.967364168,270.7330889,-20.86858095,0.978790945
Looe31,31,102.929,5.616272071,255.5472889,-27.17430476,0.972904947
Looe32,32,96.068,6.057124591,274.6049778,-29.47553333,0.963004392
Looe33,33,132.3533333,4.613627558,272.0692667,-30.28331429,0.989280012
Looe34,34,132.3956667,6.168367866,276.8500889,-23.41858095,0.99015838
Looe35,35,102.9416667,6.046376205,276.1936667,-28.65385714,0.98930577
Looe36,36,99.99366667,8.449375986,234.3915333,-15.90624762,0.828460883
Looe37,37,96.826,4.692719079,239.6219556,-30.42925714,0.966461193
Looe38,38,89.14966667,5.18723774,266.7095556,-34.23014286,0.976475439
Looe39,39,111.6773333,5.88184059,286.0676889,-29.64894286,0.995862059
Looe3,3,132.3433333,5.123900985,268.9828889,-26.66709524,0.98001727
Looe40,40,78.62066667,6.579429408,258.9945333,-27.41481905,0.981380628
Looe41,41,90.50533333,6.313320686,248.7483556,-25.06494286,0.966621652
Looe42,42,117.966,5.52336969,245.0538444,-23.00911429,0.936083181
Looe43,43,120.4736667,4.06148097,244.7820222,-30.60665714,0.981815634
Looe44,44,118.16,5.756057526,261.2672667,-24.86202857,0.966265001
Looe45,45,110.289,6.053998282,257.8888222,-24.38055238,0.981110685
Looe46,46,111.5516667,5.979894725,255.9606,-24.14907619,0.973816145
Looe47,47,81.16266667,5.193537011,241.5233111,-30.8769619,0.955426711
Looe48,48,117.8933333,5.684546484,262.4307778,-25.42638095,0.924692681
Looe4,4,152.1213333,4.159498593,260.6210222,-26.0848,0.964547982
Looe50,50,122.6876667,4.612761429,244.4656667,-26.4002381,0.979959526
Looe51,51,88.39833333,6.61427345,240.6573333,-23.0197619,0.961635145
Looe52,52,75.99733333,6.142111699,237.5034,-26.29487619,0.971258802
Looe53,53,115.4753333,5.253141151,252.2188,-26.0308,0.974076192
Looe54,54,77.00633333,7.735063971,254.1342889,-22.89935238,0.975996867
Looe55,55,99.42933333,5.022188341,272.2875556,-34.41890476,0.940159038
Looe56,56,103.5393333,8.705589066,270.7387111,-19.20598095,0.980759993
Looe58,58,115.245,5.053408927,285.0986889,-33.61170476,0.980141902
Looe59,59,79.22566667,7.087811172,261.8656,-25.76817143,0.979182061
Looe5,5,97.654,5.769653862,255.0191111,-27.27461905,0.977010398
Looe60,60,98.65266667,6.177985959,250.9894444,-24.658,0.979655059
