"","site","genotype","array","tag_number","T0","timepoint","growth","number_branches","sa","volume","tle","sav"
"352","Looe","50","10","100",8.94447,"3",21.838765,16,153.755615,38.34206,52.465591,4.01010313478201
"353","Daves","7","11","106",9.553802,"T1",-3.656907,0,24.609592,6.755872,5.896895,3.64269660526428
"354","Daves","7","11","106",9.553802,"T2",2.920105,3,31.757929,9.773219,8.817,3.24948504684076
"355","Daves","3","11","107",7.475078,"T1",-2.136966,1,23.041569,7.56591,5.338112,3.04544582211525
"356","Daves","3","11","107",7.475078,"T2",3.866617,5,36.76543,11.580167,9.204729,3.17486181330546
"357","Daves","3","13","123",8.112431,"T1",-4.400366,0,10.72558,3.332844,3.712065,3.21814642389503
"358","Daves","3","13","123",8.112431,"T2",1.927634,2,15.322263,4.016599,5.639699,3.81473555114663
"359","Daves","1","17","162",8.212301,"T1",3.896547,3,39.639328,10.565591,12.108848,3.75173788196041
"360","Daves","1","17","162",8.212301,"T2",6.077736,8,65.540253,20.595974,18.186584,3.1821875964691
"361","Daves","62","18","178",7.560893,"T1",2.396397,2,30.923216,9.1494,9.95729,3.37980807484644
"362","Daves","62","18","178",7.560893,"T2",2.356538,2,42.629303,11.956681,12.313828,3.5653123973116
"363","Daves","31","19","182",10.151221,"T1",4.404013,5,46.88958,12.634087,14.555234,3.71135484503154
"364","Daves","31","19","182",10.151221,"T2",11.911072,11,68.16761,18.510569,26.466306,3.68263179808249
"365","Daves","50","19","188",8.2502,"T1",3.645612,4,36.467064,10.053769,11.895812,3.62720329062663
"366","Daves","50","19","188",8.2502,"T2",-6.139422,3,17.785343,6.314398,5.75639,2.81663319290295
"367","Daves","31","20","192",8.828995,"T1",2.115717,2,36.022923,9.99266,10.944712,3.60493832473035
"368","Daves","31","20","192",8.828995,"T2",10.886019,9,58.912815,15.978183,21.830731,3.68707849947644
"369","Daves","1","20","193",6.505289,"T1",1.33064,0,30.415649,7.548234,7.835929,4.02950531210347
"370","Daves","1","20","193",6.505289,"T2",6.150555,9,41.881248,11.711742,13.986484,3.5760050042086
"371","Looe","50","3","24",8.571006,"T1",-3.502496,0,18.370447,6.84569,5.06851,2.683505534139
"372","Looe","50","3","24",8.571006,"T2",4.490322,4,33.91573,12.592319,9.558832,2.69336648793602
"373","Looe","31","3","27",7.555062,"T1",1.757261,4,23.983887,5.742511,9.312323,4.17655046720851
"374","Looe","31","3","27",7.555062,"T2",5.685271,6,44.679241,11.203068,14.997594,3.98812548491181
"375","Looe","36","6","57",10.124927,"T1",2.86451,1,51.547001,16.821196,12.989437,3.06440760811538
"376","Looe","36","6","57",10.124927,"T2",4.983454,5,67.133377,19.798294,17.972891,3.3908667585197
"377","Looe","62","8","73",8.89148,"T1",3.858205,5,42.073643,12.907367,12.749685,3.25966116869537
"378","Looe","62","8","73",8.89148,"T2",2.552714,7,41.94553,11.716337,15.302399,3.58008906708641
"379","Looe","31","8","75",6.482586,"T1",1.512979,2,25.996738,7.46622,7.995565,3.48191427522896
"380","Looe","31","8","75",6.482586,"T2",3.790892,4,27.268524,6.34478,11.786457,4.2977887334155
"381","Looe","36","8","77",9.617987,"T1",-6.25561,0,16.315872,5.427978,3.362377,3.0058839589991
"382","Looe","36","8","77",9.617987,"T2",-1.161666,0,6.219167,2.543643,2.200711,2.44498422144932
